user_id,date,steps,sleep_hours,screen_time_hours,deep_work_hours,exercise_minutes
U2,2026-01-18,5507,6.8,6.0,4.4,45
U2,2026-01-19,11474,6.5,3.9,3.2,38
U2,2026-01-20,6473,5.8,8.5,5.4,82
U2,2026-01-21,6675,8.2,8.4,2.4,63
U2,2026-01-22,10940,6.6,4.1,5.5,90
U2,2026-01-23,8177,6.6,6.7,0.7,35
U2,2026-01-24,9015,7.1,4.6,3.9,39
U2,2026-01-25,8935,6.1,4.9,1.0,77
U2,2026-01-26,10754,8.2,7.7,3.0,74
U2,2026-01-27,7905,8.4,6.9,4.6,60
U2,2026-01-28,11816,7.8,7.4,2.4,81
U2,2026-01-29,9709,7.1,8.9,0.7,4
U2,2026-01-30,7684,5.7,3.4,3.3,54
U3,2026-01-01,4573,6.2,2.5,1.1,41
U3,2026-01-02,10271,6.3,6.1,3.3,81
U3,2026-01-03,8091,7.8,8.9,4.9,72
U3,2026-01-04,9246,5.9,8.1,5.1,41
U3,2026-01-05,7406,6.1,4.2,5.6,35
U3,2026-01-06,7617,5.7,2.7,4.7,52
U3,2026-01-07,7118,5.9,6.0,2.8,47
U3,2026-01-08,7930,7.2,4.6,3.5,11
U3,2026-01-09,9032,6.3,3.6,5.0,49
U3,2026-01-10,8801,6.4,8.9,4.9,69
U3,2026-01-11,11208,6.5,3.6,3.0,5
U3,2026-01-12,6277,6.3,4.0,1.0,7
U3,2026-01-13,4291,8.2,8.6,3.3,50
U3,2026-01-14,11275,6.8,3.3,1.4,17
U3,2026-01-15,8327,8.1,7.2,5.6,9
U3,2026-01-16,6601,6.6,8.6,0.8,30
U3,2026-01-17,10925,8.5,7.5,2.7,61
U3,2026-01-18,8258,5.8,8.4,3.8,54
U3,2026-01-19,5585,6.2,5.2,1.2,28
U3,2026-01-20,5712,7.6,3.2,4.9,44
U3,2026-01-21,10450,7.3,5.5,1.3,66
U3,2026-01-22,9249,7.9,2.3,4.8,23
U3,2026-01-23,6435,8.3,6.3,1.7,86
U3,2026-01-24,11035,7.0,8.0,1.0,60
U3,2026-01-25,6189,8.0,4.2,3.8,46
U3,2026-01-26,4104,5.8,4.3,3.1,22
U3,2026-01-27,5119,8.1,8.0,2.9,56
U3,2026-01-28,11900,6.2,4.5,1.9,24
U3,2026-01-29,4514,7.2,2.7,1.2,63
U3,2026-01-30,6563,8.0,4.1,0.8,66
U4,2026-01-01,11839,7.1,6.1,4.7,24
U4,2026-01-02,4728,5.7,4.6,5.0,19
U4,2026-01-03,6085,7.9,8.6,4.2,69
U4,2026-01-04,4517,8.0,2.6,3.3,78
U4,2026-01-05,6994,7.0,7.7,4.9,17
U4,2026-01-06,4554,5.5,6.7,0.7,4
U4,2026-01-07,11100,5.5,5.8,3.2,12
U4,2026-01-08,5066,8.0,8.6,3.6,64
U4,2026-01-09,7414,5.6,3.3,4.2,4
U4,2026-01-10,7307,7.4,6.8,4.9,59
U4,2026-01-11,9905,7.7,2.9,3.7,83
U4,2026-01-12,7300,6.5,2.2,2.0,85
U4,2026-01-13,4034,7.6,6.5,0.8,25
U4,2026-01-14,5822,6.2,5.1,4.0,69
U4,2026-01-15,9581,8.2,8.2,5.5,29
U4,2026-01-16,9800,5.7,5.1,2.6,2
U4,2026-01-17,4638,7.7,3.7,5.8,29
U4,2026-01-18,6366,7.9,3.8,4.5,11
U4,2026-01-19,10741,6.9,6.7,5.4,47
U4,2026-01-20,5345,5.5,8.5,4.6,4
U4,2026-01-21,7516,8.0,7.2,3.4,82
U4,2026-01-22,7156,8.5,3.9,0.7,82
U4,2026-01-23,9422,7.5,7.8,6.0,70
U4,2026-01-24,8583,6.0,2.1,2.4,32
U4,2026-01-25,8909,8.4,8.9,1.9,44
U4,2026-01-26,9944,7.4,8.8,1.7,48
U4,2026-01-27,11969,5.9,4.8,2.7,22
U4,2026-01-28,8780,7.6,2.9,0.8,3
U4,2026-01-29,10211,7.2,3.6,2.9,38
U4,2026-01-30,9951,6.4,7.3,1.1,45
U5,2026-01-01,7110,8.1,7.4,1.3,53
U5,2026-01-02,11891,8.2,4.4,3.8,25
U5,2026-01-03,6911,6.4,7.5,0.5,40
U5,2026-01-04,5624,6.2,8.0,3.4,61
U5,2026-01-05,9950,6.2,2.9,3.4,72
U5,2026-01-06,5775,8.3,6.6,5.1,44
U5,2026-01-07,4068,6.8,6.2,5.5,78
U5,2026-01-08,10613,7.2,2.7,0.6,71
U5,2026-01-09,5134,6.8,2.6,5.2,7
U5,2026-01-10,5403,7.4,3.9,0.6,36
U5,2026-01-11,11211,8.4,8.6,2.2,39
U5,2026-01-12,11626,6.6,4.9,1.5,42
U5,2026-01-13,11065,7.8,5.7,4.9,22
U5,2026-01-14,11336,7.6,5.9,3.9,43
U5,2026-01-15,6138,6.3,3.2,3.6,35
U5,2026-01-16,8007,6.4,8.9,5.7,54
U5,2026-01-17,5344,6.7,4.3,5.4,73
U5,2026-01-18,4898,8.0,6.2,4.9,76
U5,2026-01-19,8379,7.0,5.4,3.6,77
U5,2026-01-20,5095,8.2,8.9,4.1,76
U5,2026-01-21,9888,7.4,5.9,1.1,8
U5,2026-01-22,10014,8.2,5.6,2.0,86
U5,2026-01-23,5983,8.0,8.3,5.4,35
U5,2026-01-24,7513,6.3,6.0,4.1,42
U5,2026-01-25,4274,6.1,5.2,5.3,78
U5,2026-01-26,10391,6.2,4.0,4.0,16
U5,2026-01-27,7767,5.6,5.4,2.9,80
U5,2026-01-28,6361,7.1,4.2,3.4,58
U5,2026-01-29,8627,7.8,4.8,5.9,62
U5,2026-01-30,7354,8.3,8.3,3.1,75
